pid,name,tf_pid,tf_name,fifa_pid,fifa_name
11135,Aaron   Hughes,3580,Aaron Hughes,17725,Aaron Hughes
8284,Aaron   Lennon,14221,Aaron Lennon,152747,Aaron Lennon
8582,Aaron  Cresswell,92571,Aaron Cresswell,189615,Aaron Cresswell
391515,Aaron  Herzog,276566,Aaron Herzog,-1,
14706,Aaron  Hunt,4687,Aaron Hunt,158138,Aaron Hunt
62389,Aaron  Mooy,123951,Aaron Mooy,194958,Aaron Mooy
433506,Aaron  Ramsdale,427568,Aaron Ramsdale,233934,Aaron Ramsdale
7870,Aaron  Ramsey,50057,Aaron Ramsey,186561,Aaron Ramsey
486252,Aaron  Wan-Bissaka,477758,Aaron Wan Bissaka,229880,Aaron Wan-Bissaka
282438,Aarón  Martín Caricol,251878,Aaron Martin,236295,Aarón Martín Caricol
209095,Abdallah  N'Dour,232854,Abdallah Ndour,215383,Abdallah Ndour
120167,Abdallah Mahmoud El Said  Bekhit,-1,,-1,
442211,Abdelhamid  Sabiri,340394,Abdelhamid Sabiri,237499,Abdelhamid Sabiri
131602,Abdiel  Arroyo Molinar,283472,Abdiel Arroyo,217050,Roderick Miller
235450,Abdou  Diallo,229005,Abdou Diallo,225711,Abdou Diallo
25641,Abdou Kader  Mangane,4796,Kader Mangane,47860,Abdou Kader Mangane
25474,Abdoul Razzagui  Camara,60588,Abdoul Camara,193953,Abdoul Razzagui Camara
26368,Abdoulaye  Bamba,62351,Abdoulaye Bamba,199313,Abdoulaye Bamba
25633,Abdoulaye  Diallo,126681,Abdoulaye Diallo,197233,Abdoulaye Diallo
28292,Abdoulaye  Doucouré,127187,Abdoulaye Doucoure,208135,Abdoulaye Doucouré
217874,Abdoulaye  Touré,181382,Abdoulaye Toure,210450,Abdoulaye Touré
25957,Abdul Khaled  Akiola Adénon,-1,,186567,Khaled Adénon
216077,Abdul Rahman  Baba,224884,Abdul Rahman Baba,209620,Abdul Rahman Baba
487023,Abdullah  Al Khaibari,-1,,237721,Abdullah Alkhaibari
122561,Abdullah Ibrahim  Al Mayouf,-1,,210140,Abdullah Al Mayoof
139393,Abdullah Ibrahim  Otayf,-1,,-1,
265368,Abdullahi  Shehu,262687,Abdullahi Shehu,-1,
122696,Abdulmalek Abdullah  Al Khaibri,-1,,191843,Abdulmalek Al Khaibari
4814,Abel Enrique  Aguilar Tapia,37388,Abel Aguilar,177974,Abel Aguilar
376908,Ablie  Jallow,366045,Ablie Jallow,239740,Ablie Jallow
396475,Achraf  Hakimi Mouh,398073,Achraf Hakimi,235212,Achraf Hakimi
218971,Achraf  Lazaar,139173,Achraf Lazaar,206161,Achraf Lazaar
259946,Adalberto  Peñaranda Maestre,308801,Adalberto Penaranda,231638,Adalberto Peñaranda
282033,Adam  Jakubech,258267,Adam Jakubech,240371,Adam Jakubech
8140,Adam  Lallana,43530,Adam Lallana,180819,Adam Lallana
8963,Adam  Legzdins,43858,Adam Legzdins,182761,Adam Legzdins
228928,Adam  Marušić,239802,Adam Marusic,224031,Adam Marušić
232822,Adam  Masina,286949,Adam Masina,225410,Adam Masina
16435,Adam  Nemec,55210,Adam Nemec,177036,Karim Guédé
300830,Adam  Ounas,400485,Adam Ounas,231242,Adam Ounas
8460,Adam  Smith,61841,Adam Smith,190885,Adam Smith
276978,Adama  Diakhaby,453594,Adama Diakhaby,234924,Adama Diakhaby
215281,Adama  Mbengue,230066,Adama Mbengue,222926,Adama Mbengue
219350,Adama  Niane,253842,Adama Niane,212428,Adama Niane
266917,Adama  Traoré,262608,Adama Traore,225151,Adama Traoré
9080,Adel  Taarabt,45287,Adel Taarabt,179605,Adel Taarabt
14940,Adelino André   Vieira Freitas,-1,,177553,Adelino André Vieira de Freitas
20941,Adem  Ljajić,69374,Adem Ljajic,190544,Adem Ljajić
406682,Ademola  Lookman,397171,Gideon Mensah,230899,Ademola Lookman
3276,Adil  Rami,51118,Adil Rami,183280,Adil Rami
105619,Admir  Mehmedi,66058,Admir Mehmedi,188770,Admir Mehmedi
